file_id,organism,locus_tag,ess,conf,conf_t5,conf_mean
C035,Caulobacter crescentus,CCNA_00001,0,0.0202921777963638,0.3256333172321319,0.17296274751424784
C035,Caulobacter crescentus,CCNA_00002,0,0.047080248594284,0.8174756169319153,0.43227793276309967
C035,Caulobacter crescentus,CCNA_00003,1,0.3219534456729889,0.9021719694137572,0.6120627075433731
C035,Caulobacter crescentus,CCNA_00004,1,0.932567834854126,0.9453586935997008,0.9389632642269135
C035,Caulobacter crescentus,CCNA_00005,1,0.077730968594551,0.9025455117225648,0.4901382401585579
C035,Caulobacter crescentus,CCNA_00006,0,0.0190463960170745,0.1063498184084892,0.06269810721278185
C035,Caulobacter crescentus,CCNA_00007,1,0.9105361104011536,0.8487043976783752,0.8796202540397644
C035,Caulobacter crescentus,CCNA_00008,1,0.9062125086784364,0.9126620292663574,0.9094372689723969
C035,Caulobacter crescentus,CCNA_00009,0,0.0315965116024017,0.0273193102329969,0.0294579109176993
C035,Caulobacter crescentus,CCNA_00010,1,0.957599937915802,0.9278146624565125,0.9427073001861572
C035,Caulobacter crescentus,CCNA_00011,0,0.0356439910829067,0.8304625749588013,0.433053283020854
C035,Caulobacter crescentus,CCNA_00012,0,0.6782780289649963,0.1253794282674789,0.40182872861623764
C035,Caulobacter crescentus,CCNA_00013,0,0.018457418307662,0.177222803235054,0.097840110771358
C035,Caulobacter crescentus,CCNA_00014,0,0.0199671350419521,0.0756106525659561,0.0477888938039541
C035,Caulobacter crescentus,CCNA_00015,0,0.3529723584651947,0.3516009449958801,0.3522866517305374
C035,Caulobacter crescentus,CCNA_00016,0,0.0161915570497512,0.2786712646484375,0.14743141084909434
C035,Caulobacter crescentus,CCNA_00017,0,0.0224846005439758,0.2619823515415191,0.14223347604274744
C035,Caulobacter crescentus,CCNA_00018,0,0.0184361543506383,0.4032459557056427,0.2108410550281405
C035,Caulobacter crescentus,CCNA_00019,0,0.027251923456788,0.0804712772369384,0.0538616003468632
C035,Caulobacter crescentus,CCNA_00020,0,0.3979495465755462,0.1466958373785019,0.2723226919770241
C035,Caulobacter crescentus,CCNA_00021,0,0.2543940842151642,0.0488362126052379,0.15161514841020104
C035,Caulobacter crescentus,CCNA_00022,0,0.0258583314716815,0.0529204346239566,0.03938938304781905
C035,Caulobacter crescentus,CCNA_00023,0,0.7387579679489136,0.067564308643341,0.40316113829612726
C035,Caulobacter crescentus,CCNA_00024,0,0.0855937004089355,0.6269053816795349,0.35624954104423523
C035,Caulobacter crescentus,CCNA_00025,0,0.0174825731664896,0.0897358059883117,0.05360918957740065
C035,Caulobacter crescentus,CCNA_00026,0,0.0479546338319778,0.0199709702283144,0.0339628020301461
C035,Caulobacter crescentus,CCNA_00027,0,0.0156996250152587,0.0322442948818206,0.02397195994853965
C035,Caulobacter crescentus,CCNA_00028,0,0.1043809354305267,0.0252589378505945,0.0648199366405606
C035,Caulobacter crescentus,CCNA_00029,0,0.0676747933030128,0.0681011006236076,0.0678879469633102
C035,Caulobacter crescentus,CCNA_00030,0,0.0060971202328801,0.0321596376597881,0.0191283789463341
C035,Caulobacter crescentus,CCNA_00031,0,0.0231271311640739,0.0377414785325527,0.030434304848313297
C035,Caulobacter crescentus,CCNA_00032,0,0.2894548773765564,0.421970784664154,0.3557128310203552
