file_id,organism,locus_tag,ess,conf,conf_esm2,conf_bert,conf_mean
C039,Pseudomonas aeruginosa MPAO1,PA0001,1,0.1348035782575607,0.9532382488250732,0.9368686676025392,0.6749701648950577
C039,Pseudomonas aeruginosa MPAO1,PA0002,1,0.4297551810741424,0.945387840270996,0.96353942155838,0.7795608143011727
C039,Pseudomonas aeruginosa MPAO1,PA0003,0,0.0326477773487567,0.210389494895935,0.1714396476745605,0.13815897330641738
C039,Pseudomonas aeruginosa MPAO1,PA0004,1,0.965816080570221,0.9871830940246582,0.882588267326355,0.9451958139737447
C039,Pseudomonas aeruginosa MPAO1,PA0005,0,0.2135936766862869,0.7664735913276672,0.8483628630638123,0.6094767103592554
C039,Pseudomonas aeruginosa MPAO1,PA0006,1,0.0354970134794712,0.7113750576972961,0.1864086091518402,0.31109356010953587
C039,Pseudomonas aeruginosa MPAO1,PA0007,0,0.0266792699694633,0.0262233782559633,0.0763380080461502,0.043080218757192264
C039,Pseudomonas aeruginosa MPAO1,PA0008,1,0.1801003813743591,0.9781721830368042,0.974368929862976,0.7108804980913798
C039,Pseudomonas aeruginosa MPAO1,PA0009,1,0.9356364607810974,0.9744099974632264,0.9931427240371704,0.9677297274271647
C039,Pseudomonas aeruginosa MPAO1,PA0010,0,0.0391493700444698,0.1137603223323822,0.4982693791389465,0.21705969050526616
C039,Pseudomonas aeruginosa MPAO1,PA0011,0,0.0294869802892208,0.787742555141449,0.4217466413974762,0.41299205894271535
C039,Pseudomonas aeruginosa MPAO1,PA0012,0,0.0332721062004566,0.0127404555678367,0.2930092215538025,0.11300726110736525
C039,Pseudomonas aeruginosa MPAO1,PA0013,0,0.0749385878443718,0.2099028527736663,0.0894637107849121,0.12476838380098339
C039,Pseudomonas aeruginosa MPAO1,PA0014,0,0.0309316869825124,0.1928344666957855,0.1849918067455291,0.136252653474609
C039,Pseudomonas aeruginosa MPAO1,PA0015,0,0.0653395131230354,0.2884109616279602,0.3835719525814056,0.24577414244413376
C039,Pseudomonas aeruginosa MPAO1,PA0016,0,0.4198865592479706,0.3370640873908996,0.6779366135597229,0.47829575339953107
