file_id,organism,locus_tag,ess,conf,conf_esm2,conf_bert,conf_mean
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.1544919908046722,0.0103176888078451,0.2466098815202713,0.13713985371092954
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.2001786082983017,0.6056390404701233,0.3631139993667602,0.3896438827117284
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.0575143955647945,0.1009567156434059,0.2512242496013641,0.13656512026985482
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.244504690170288,0.5221937894821167,0.4666074514389038,0.4111019770304362
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.1219179555773735,0.0943245291709899,0.0911191552877426,0.10245388001203533
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.1157553270459175,0.2250235974788665,0.405454009771347,0.24874431143204365
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.055692546069622,0.0284985322505235,0.2402050197124481,0.1081320326775312
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.187820702791214,0.1270728409290313,0.3209760785102844,0.2119565407435099
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.0633050128817558,0.1097561046481132,0.4755814969539642,0.2162142048279444
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.0898876711726188,0.0675798654556274,0.1703146994113922,0.10926074534654613
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.0647574812173843,0.018725898116827,0.2575145661830902,0.1136659818391005
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.0604196079075336,0.0270968079566955,0.1515562534332275,0.07969088976581887
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.8854110240936279,0.8728612661361694,0.7861143946647644,0.8481288949648539
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.1297364681959152,0.8214396834373474,0.8147737979888916,0.5886499832073847
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.0676379278302192,0.0082639623433351,0.1063565239310264,0.06075280470152691
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.2830128073692322,0.1239865124225616,0.2972006797790527,0.23473333319028214
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.0571242272853851,0.0939581021666526,0.1549560129642486,0.10201278080542876
