file_id,organism,locus_tag,ess,conf,conf_bert,conf_t5,conf_mean
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.1544919908046722,0.2466098815202713,0.0378117673099041,0.1463045465449492
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.2001786082983017,0.3631139993667602,0.1266333013772964,0.22997530301411948
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.0575143955647945,0.2512242496013641,0.3174072504043579,0.20871529852350548
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.244504690170288,0.4666074514389038,0.2146121561527252,0.308574765920639
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.1219179555773735,0.0911191552877426,0.1558607369661331,0.12296594927708308
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.1157553270459175,0.405454009771347,0.2822272479534149,0.2678121949235598
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.055692546069622,0.2402050197124481,0.1359530538320541,0.1439502065380414
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.187820702791214,0.3209760785102844,0.2448186725378036,0.25120515127976734
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.0633050128817558,0.4755814969539642,0.0799242928624153,0.20627026756604508
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.0898876711726188,0.1703146994113922,0.1593827307224273,0.13986170043547944
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.0647574812173843,0.2575145661830902,0.0201456733047962,0.11413924023509024
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.0604196079075336,0.1515562534332275,0.0020603449083864,0.07134540208304917
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.8854110240936279,0.7861143946647644,0.948307991027832,0.8732778032620748
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.1297364681959152,0.8147737979888916,0.751796305179596,0.5654355237881342
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.0676379278302192,0.1063565239310264,0.0440639927983284,0.07268614818652468
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.2830128073692322,0.2972006797790527,0.2774763405323028,0.2858966092268626
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.0571242272853851,0.1549560129642486,0.1210091263055801,0.11102978885173793
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.0560982786118984,0.1156663298606872,0.072991594672203,0.08158540104826285
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.0516092181205749,0.2463235259056091,0.0041632815264165,0.10069867518420017
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.0535134263336658,0.0538704209029674,0.092756874859333,0.06671357403198873
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.2910712659358978,0.886547863483429,0.7800223231315613,0.652547150850296
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.0617234632372856,0.5087080597877502,0.4124155342578888,0.3276156857609749
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.9032105803489684,0.8360057473182678,0.9568207263946532,0.8986790180206299
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.8144609928131104,0.9496040940284728,0.977057695388794,0.9137075940767924
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.9102087616920472,0.9232540726661682,0.8722516298294067,0.901904821395874
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.0595139190554618,0.2461219578981399,0.5185484290122986,0.27472810198863346
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.7450486421585083,0.92527836561203,0.7903988361358643,0.8202419479688009
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.0570129863917827,0.4178037941455841,0.0245518777519464,0.16645621942977107
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.8681749105453491,0.8979614973068237,0.8559694886207581,0.8740352988243103
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.0781683847308158,0.6970238089561462,0.5953579545021057,0.45685004939635593
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.1843028366565704,0.6408669352531433,0.7738703489303589,0.5330133736133575
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.0848932117223739,0.417057603597641,0.1069355756044387,0.20296213030815122
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.0548746287822723,0.1286786645650863,0.0598797015845775,0.0811443316439787
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.0642035976052284,0.212573766708374,0.088750772178173,0.12184271216392513
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,0.0873881205916404,0.1378869712352752,0.058931328356266,0.09473547339439388
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.094691090285778,0.094633862376213,0.006902968045324,0.06540930690243833
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.0614849999547004,0.3103028833866119,0.1944517791271209,0.18874655415614439
C018,Escherichia coli K-12 BW25113,BW25113_0040,0,0.0591473057866096,0.2466020584106445,0.0760084465146064,0.12725260357062018
C018,Escherichia coli K-12 BW25113,BW25113_0041,0,0.0573591515421867,0.3570576012134552,0.3171976506710052,0.24387146780888236
C018,Escherichia coli K-12 BW25113,BW25113_0042,0,0.1424980461597442,0.392067015171051,0.1697302460670471,0.23476510246594748
C018,Escherichia coli K-12 BW25113,BW25113_0043,0,0.076273463666439,0.1792350709438324,0.090600349009037,0.1153696278731028
C018,Escherichia coli K-12 BW25113,BW25113_0044,0,0.0560921914875507,0.0981131568551063,0.097959779202938,0.08405504251519834
C018,Escherichia coli K-12 BW25113,BW25113_0045,0,0.0607686378061771,0.1500790864229202,0.0373536609113216,0.0827337950468063
C018,Escherichia coli K-12 BW25113,BW25113_0046,0,0.0707326307892799,0.0754163712263107,0.0080304034054279,0.0513931351403395
C018,Escherichia coli K-12 BW25113,BW25113_0047,0,0.0589070282876491,0.4156356453895569,0.128897488117218,0.20114672059814132
C018,Escherichia coli K-12 BW25113,BW25113_0048,1,0.136533185839653,0.8786813020706177,0.9030736684799194,0.6394293854633967
C018,Escherichia coli K-12 BW25113,BW25113_0049,0,0.0678205639123916,0.1655225902795791,0.0475275889039039,0.09362358103195821
