file_id,organism,locus_tag,ess,conf
C039,Pseudomonas aeruginosa MPAO1,PA0001,1,0.9684991836547852
C039,Pseudomonas aeruginosa MPAO1,PA0002,1,0.9781631827354431
C039,Pseudomonas aeruginosa MPAO1,PA0003,0,0.37024447321891785
C039,Pseudomonas aeruginosa MPAO1,PA0004,1,0.9704073667526245
C039,Pseudomonas aeruginosa MPAO1,PA0005,0,0.7527509331703186
C039,Pseudomonas aeruginosa MPAO1,PA0006,1,0.6606414318084717
C039,Pseudomonas aeruginosa MPAO1,PA0007,0,0.22014012932777405
C039,Pseudomonas aeruginosa MPAO1,PA0008,1,0.9656807780265808
C039,Pseudomonas aeruginosa MPAO1,PA0009,1,0.9582307934761047
C039,Pseudomonas aeruginosa MPAO1,PA0010,0,0.04217251390218735
C039,Pseudomonas aeruginosa MPAO1,PA0011,0,0.7626212239265442
C039,Pseudomonas aeruginosa MPAO1,PA0012,0,0.13749383389949799
C039,Pseudomonas aeruginosa MPAO1,PA0013,0,0.15695589780807495
C039,Pseudomonas aeruginosa MPAO1,PA0014,0,0.20703797042369843
C039,Pseudomonas aeruginosa MPAO1,PA0015,0,0.26670557260513306
C039,Pseudomonas aeruginosa MPAO1,PA0016,0,0.7055653929710388
C039,Pseudomonas aeruginosa MPAO1,PA0017,0,0.20608964562416077
C039,Pseudomonas aeruginosa MPAO1,PA0018,1,0.874410092830658
C039,Pseudomonas aeruginosa MPAO1,PA0019,1,0.8675919771194458
C039,Pseudomonas aeruginosa MPAO1,PA0020,0,0.5691163539886475
C039,Pseudomonas aeruginosa MPAO1,PA0021,0,0.25504931807518005
C039,Pseudomonas aeruginosa MPAO1,PA0022,1,0.8260675668716431
C039,Pseudomonas aeruginosa MPAO1,PA0023,0,0.08789266645908356
C039,Pseudomonas aeruginosa MPAO1,PA0024,1,0.8943198323249817
C039,Pseudomonas aeruginosa MPAO1,PA0025,0,0.6733143925666809
C039,Pseudomonas aeruginosa MPAO1,PA0026,0,0.2226700782775879
C039,Pseudomonas aeruginosa MPAO1,PA0027,0,0.1155376210808754
C039,Pseudomonas aeruginosa MPAO1,PA0028,0,0.1443420648574829
C039,Pseudomonas aeruginosa MPAO1,PA0029,0,0.10468610376119614
C039,Pseudomonas aeruginosa MPAO1,PA0030,0,0.09609034657478333
C039,Pseudomonas aeruginosa MPAO1,PA0031,0,0.10856176167726517
C039,Pseudomonas aeruginosa MPAO1,PA0032,0,0.06041054427623749
C039,Pseudomonas aeruginosa MPAO1,PA0033,0,0.12529587745666504
C039,Pseudomonas aeruginosa MPAO1,PA0034,0,0.19376106560230255
C039,Pseudomonas aeruginosa MPAO1,PA0035,0,0.7986435890197754
C039,Pseudomonas aeruginosa MPAO1,PA0036,0,0.7027791738510132
C039,Pseudomonas aeruginosa MPAO1,PA0037,0,0.09172225743532181
C039,Pseudomonas aeruginosa MPAO1,PA0038,0,0.39576277136802673
C039,Pseudomonas aeruginosa MPAO1,PA0039,0,0.2162889540195465
C039,Pseudomonas aeruginosa MPAO1,PA0040,0,0.1079917699098587
C039,Pseudomonas aeruginosa MPAO1,PA0041,0,0.18630316853523254
C039,Pseudomonas aeruginosa MPAO1,PA0042,0,0.1949504315853119
C039,Pseudomonas aeruginosa MPAO1,PA0043,0,0.06579950451850891
C039,Pseudomonas aeruginosa MPAO1,PA0044,0,0.1489785760641098
C039,Pseudomonas aeruginosa MPAO1,PA0045,0,0.16105948388576508
C039,Pseudomonas aeruginosa MPAO1,PA0046,0,0.16502664983272552
C039,Pseudomonas aeruginosa MPAO1,PA0047,0,0.08887477964162827
C039,Pseudomonas aeruginosa MPAO1,PA0048,0,0.128767728805542
C039,Pseudomonas aeruginosa MPAO1,PA0049,0,0.24106775224208832
C039,Pseudomonas aeruginosa MPAO1,PA0050,0,0.21415646374225616
C039,Pseudomonas aeruginosa MPAO1,PA0051,0,0.60477614402771
C039,Pseudomonas aeruginosa MPAO1,PA0052,0,0.063572458922863
C039,Pseudomonas aeruginosa MPAO1,PA0053,0,0.20239228010177612
C039,Pseudomonas aeruginosa MPAO1,PA0054,0,0.1443665325641632
C039,Pseudomonas aeruginosa MPAO1,PA0055,0,0.01703593134880066
C039,Pseudomonas aeruginosa MPAO1,PA0056,0,0.05613909289240837
C039,Pseudomonas aeruginosa MPAO1,PA0057,0,0.07906531542539597
C039,Pseudomonas aeruginosa MPAO1,PA0058,0,0.11275537312030792
C039,Pseudomonas aeruginosa MPAO1,PA0059,0,0.09375562518835068
C039,Pseudomonas aeruginosa MPAO1,PA0060,0,0.2455391138792038
C039,Pseudomonas aeruginosa MPAO1,PA0061,0,0.11196689307689667
C039,Pseudomonas aeruginosa MPAO1,PA0062,0,0.1359151303768158
C039,Pseudomonas aeruginosa MPAO1,PA0063,0,0.050015948712825775
C039,Pseudomonas aeruginosa MPAO1,PA0064,0,0.17639636993408203
C039,Pseudomonas aeruginosa MPAO1,PA0065,0,0.1304658055305481
C039,Pseudomonas aeruginosa MPAO1,PA0066,0,0.1721707284450531
C039,Pseudomonas aeruginosa MPAO1,PA0067,0,0.1827491968870163
C039,Pseudomonas aeruginosa MPAO1,PA0068,0,0.23216037452220917
C039,Pseudomonas aeruginosa MPAO1,PA0069,0,0.11975157260894775
C039,Pseudomonas aeruginosa MPAO1,PA0070,0,0.11389321833848953
C039,Pseudomonas aeruginosa MPAO1,PA0071,0,0.082069531083107
C039,Pseudomonas aeruginosa MPAO1,PA0072,0,0.3526618480682373
C039,Pseudomonas aeruginosa MPAO1,PA0073,0,0.1557854562997818
C039,Pseudomonas aeruginosa MPAO1,PA0074,0,0.4237437844276428
C039,Pseudomonas aeruginosa MPAO1,PA0075,0,0.31308263540267944
C039,Pseudomonas aeruginosa MPAO1,PA0076,0,0.18898794054985046
C039,Pseudomonas aeruginosa MPAO1,PA0077,0,0.12715964019298553
C039,Pseudomonas aeruginosa MPAO1,PA0078,0,0.1567932814359665
C039,Pseudomonas aeruginosa MPAO1,PA0079,0,0.133027121424675
C039,Pseudomonas aeruginosa MPAO1,PA0080,0,0.05364006385207176
C039,Pseudomonas aeruginosa MPAO1,PA0081,0,0.13679200410842896
C039,Pseudomonas aeruginosa MPAO1,PA0082,0,0.08231960982084274
C039,Pseudomonas aeruginosa MPAO1,PA0083,0,0.049520522356033325
C039,Pseudomonas aeruginosa MPAO1,PA0084,0,0.508581280708313
C039,Pseudomonas aeruginosa MPAO1,PA0085,0,0.11243688315153122
C039,Pseudomonas aeruginosa MPAO1,PA0086,0,0.2860831618309021
C039,Pseudomonas aeruginosa MPAO1,PA0087,0,0.2038896232843399
C039,Pseudomonas aeruginosa MPAO1,PA0088,0,0.16927537322044373
C039,Pseudomonas aeruginosa MPAO1,PA0089,0,0.09968797862529755
C039,Pseudomonas aeruginosa MPAO1,PA0090,0,0.34001827239990234
C039,Pseudomonas aeruginosa MPAO1,PA0091,0,0.26527559757232666
